session_id,mechanism,D,R,driver_id,c_j,matched,tau_driver,pay_driver,match_id
a8f585f9,DA,20,40,9,5.4120627146152955,1,6.4,8.319999999999999,14
a8f585f9,DA,20,40,10,10.57701209778111,1,4.0,11.200000000000001,5
a8f585f9,DA,20,40,11,3.883283383091471,1,6.2,8.56,13
a8f585f9,DA,20,40,12,3.412342138383467,1,5.5,9.4,11
a8f585f9,DA,20,40,13,11.660546576331612,0,10.0,0.0,-1
a8f585f9,DA,20,40,14,5.616281999372602,1,3.9000000000000004,11.32,4
a8f585f9,DA,20,40,15,6.883507779783831,1,4.7,10.36,7
a8f585f9,DA,20,40,16,2.4211733659118924,1,5.2,9.76,9
a8f585f9,DA,20,40,17,3.2893322431999414,1,6.7,7.96,15
a8f585f9,DA,20,40,18,6.298862695197555,1,5.7,9.16,12
a8f585f9,DA,20,40,19,2.5683936124347,1,4.9,10.12,8
9badd2f9,DA,20,40,0,4.901334112085258,1,3.2,12.16,5
9badd2f9,DA,20,40,1,3.641334197428215,1,4.2,10.96,8
9badd2f9,DA,20,40,2,4.226477074233492,1,5.6000000000000005,9.28,12
9badd2f9,DA,20,40,3,2.676829706439223,1,5.9,8.92,14
9badd2f9,DA,20,40,4,4.578585877015726,1,6.5,8.200000000000001,16
9badd2f9,DA,20,40,5,6.857257679881844,1,4.5,10.600000000000001,10
9badd2f9,DA,20,40,6,8.281096851634516,1,0.9,14.92,3
9badd2f9,DA,20,40,7,10.938230626748615,0,10.0,0.0,-1
9badd2f9,DA,20,40,8,6.213680086697095,1,6.0,8.8,15
9badd2f9,DA,20,40,9,9.044802959975925,1,4.3,10.840000000000002,9
9badd2f9,DA,20,40,10,12.198648026563138,0,10.0,0.0,-1
9badd2f9,DA,20,40,11,9.241951518660557,0,10.0,0.0,-1
9badd2f9,DA,20,40,12,9.526556498322913,1,0.8,15.040000000000001,2
9badd2f9,DA,20,40,13,4.6980976261325464,1,3.5,11.8,7
9badd2f9,DA,20,40,14,9.569074550035502,1,3.3000000000000003,12.040000000000001,6
9badd2f9,DA,20,40,15,7.0075595956444925,1,0.7000000000000001,15.16,0
9badd2f9,DA,20,40,16,4.916636440055003,1,4.6000000000000005,10.48,11
9badd2f9,DA,20,40,17,10.387806153055239,1,1.3,14.440000000000001,4
9badd2f9,DA,20,40,18,4.1118588908661895,1,0.7000000000000001,15.16,1
9badd2f9,DA,20,40,19,4.653322668715655,1,5.800000000000001,9.04,13
4adbbea7,DA,20,40,0,3.6503780564754438,1,3.5,11.8,12
4adbbea7,DA,20,40,1,8.543706021011213,1,2.6,12.880000000000003,7
4adbbea7,DA,20,40,2,4.861920428997773,1,2.1,13.480000000000002,6
4adbbea7,DA,20,40,3,10.617584890777836,1,4.0,11.200000000000001,13
4adbbea7,DA,20,40,4,3.8959627706270514,1,3.1,12.280000000000001,9
4adbbea7,DA,20,40,5,13.415969607769613,0,10.0,0.0,-1
4adbbea7,DA,20,40,6,5.179053290642942,1,0.8,15.040000000000001,4
4adbbea7,DA,20,40,7,5.795304258972274,1,5.0,10.0,15
4adbbea7,DA,20,40,8,10.942592385199417,0,10.0,0.0,-1
4adbbea7,DA,20,40,9,13.651004512949473,1,0.0,16.0,3
4adbbea7,DA,20,40,10,4.3434301311640615,1,1.0,14.8,5
4adbbea7,DA,20,40,11,3.953219225176214,1,0.0,16.0,0
4adbbea7,DA,20,40,12,3.1128280936299526,1,0.0,16.0,1
4adbbea7,DA,20,40,13,5.372194005358077,1,3.4000000000000004,11.92,11
4adbbea7,DA,20,40,14,3.954094611259015,1,4.2,10.96,14
4adbbea7,DA,20,40,15,7.986897995806296,1,2.6,12.880000000000003,8
4adbbea7,DA,20,40,16,4.64668518589076,1,3.2,12.16,10
4adbbea7,DA,20,40,17,11.412948680588814,0,10.0,0.0,-1
4adbbea7,DA,20,40,18,15.022200577895404,0,10.0,0.0,-1
